INFO 2026-02-06 09:44:28,371 autoreload 5970 130588273750144 Watching for file changes with StatReloader
INFO 2026-02-06 09:45:42,404 autoreload 6228 130326067429504 Watching for file changes with StatReloader
INFO 2026-02-06 17:03:12,144 autoreload 9477 123645872107648 Watching for file changes with StatReloader
INFO 2026-02-06 17:05:26,701 autoreload 9592 125928380309632 Watching for file changes with StatReloader
INFO 2026-02-06 17:10:24,217 autoreload 10190 123385014964352 Watching for file changes with StatReloader
INFO 2026-02-06 17:10:36,108 autoreload 10237 129000652558464 Watching for file changes with StatReloader
INFO 2026-02-06 17:10:45,503 autoreload 10237 129000652558464 /home/salman/FYP/Backend/ace_backend/config/settings/development.py changed, reloading.
INFO 2026-02-06 17:10:46,151 autoreload 10281 125545937739904 Watching for file changes with StatReloader
INFO 2026-02-06 17:13:28,095 autoreload 10439 134167719661696 Watching for file changes with StatReloader
INFO 2026-02-08 10:22:18,807 autoreload 11588 124357480304768 Watching for file changes with StatReloader
INFO 2026-02-08 10:29:15,146 autoreload 11588 124357480304768 /home/salman/FYP/Backend/ace_backend/config/settings/base.py changed, reloading.
INFO 2026-02-08 10:29:15,839 autoreload 11796 130477083218048 Watching for file changes with StatReloader
INFO 2026-02-08 15:15:46,597 autoreload 30050 131420496556160 Watching for file changes with StatReloader
INFO 2026-02-08 15:16:13,828 middleware 30050 131420403001024 Request: GET / from 127.0.0.1
INFO 2026-02-08 15:16:13,872 middleware 30050 131420403001024 Response: GET / [404] - 0.044s
WARNING 2026-02-08 15:16:13,873 log 30050 131420403001024 Not Found: /
WARNING 2026-02-08 15:16:13,874 basehttp 30050 131420403001024 "GET / HTTP/1.1" 404 3663
INFO 2026-02-08 15:16:14,092 middleware 30050 131420403001024 Request: GET /favicon.ico from 127.0.0.1
INFO 2026-02-08 15:16:14,118 middleware 30050 131420403001024 Response: GET /favicon.ico [404] - 0.026s
WARNING 2026-02-08 15:16:14,119 log 30050 131420403001024 Not Found: /favicon.ico
WARNING 2026-02-08 15:16:14,119 basehttp 30050 131420403001024 "GET /favicon.ico HTTP/1.1" 404 3714
INFO 2026-02-08 15:16:19,432 middleware 30050 131420403001024 Request: GET /admin from 127.0.0.1
INFO 2026-02-08 15:16:19,460 middleware 30050 131420403001024 Response: GET /admin [404] - 0.029s
INFO 2026-02-08 15:16:19,462 basehttp 30050 131420403001024 "GET /admin HTTP/1.1" 301 0
INFO 2026-02-08 15:16:19,472 middleware 30050 131420394608320 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-08 15:16:19,488 middleware 30050 131420394608320 Response: GET /admin/ [302] - 0.016s
INFO 2026-02-08 15:16:19,489 basehttp 30050 131420394608320 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-08 15:16:19,508 middleware 30050 131420394608320 Request: GET /admin/login/ from 127.0.0.1
INFO 2026-02-08 15:16:19,562 middleware 30050 131420394608320 Response: GET /admin/login/ [200] - 0.054s
INFO 2026-02-08 15:16:19,563 basehttp 30050 131420394608320 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4163
INFO 2026-02-08 15:16:19,682 basehttp 30050 131420403001024 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2026-02-08 15:16:19,683 basehttp 30050 131420394608320 "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2026-02-08 15:16:19,704 basehttp 30050 131420384118464 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
